Campaign_Name,Market,Channel,Control_Responses,Control_Consideration,Exposed_Responses,Exposed_Consideration,Control_Rate,Exposed_Rate,Relative_Lift
BackToSchool_23,UK,YouTube,1824,273,2204,595,0.1496710526,0.2699637024,80.37135279
BackToSchool_23,UK,Social,2473,370,1460,364,0.1496158512,0.2493150685,66.63680118
BackToSchool_23,UK,Display,1741,261,1348,215,0.1499138426,0.159495549,6.39147538
BackToSchool_23,DE,YouTube,2236,335,1566,425,0.1498211091,0.2713920817,81.14408799
BackToSchool_23,DE,Social,2269,340,1134,273,0.149845747,0.2407407407,60.65904139
BackToSchool_23,DE,Display,2197,329,2286,367,0.1497496586,0.1605424322,7.207210801
BackToSchool_23,SA,YouTube,2079,311,1611,490,0.1495911496,0.3041589075,103.3268067
BackToSchool_23,SA,Social,2112,316,2842,850,0.1496212121,0.2990851513,99.89488593
BackToSchool_23,SA,Display,1194,179,2360,419,0.1499162479,0.1775423729,18.42770571
BackToSchool_23,EG,YouTube,1842,276,1170,355,0.1498371336,0.3034188034,102.499071
BackToSchool_23,EG,Social,2897,434,2840,785,0.1498101484,0.2764084507,84.50582527
BackToSchool_23,EG,Display,2249,337,1393,256,0.1498443753,0.183776023,22.64459219
ExamPrep_23,UK,YouTube,1243,186,1352,378,0.1496379726,0.2795857988,86.84147738
ExamPrep_23,UK,Social,2385,357,2128,513,0.1496855346,0.2410714286,61.05192077
ExamPrep_23,UK,Display,2442,366,2730,440,0.1498771499,0.1611721612,7.536179667
ExamPrep_23,DE,YouTube,1494,224,1174,322,0.1499330656,0.2742759796,82.93228279
ExamPrep_23,DE,Social,2175,326,1352,373,0.1498850575,0.275887574,84.06609613
ExamPrep_23,DE,Display,1185,177,2587,409,0.1493670886,0.1580981832,5.845393853
ExamPrep_23,SA,YouTube,2956,443,1851,552,0.149864682,0.2982171799,98.990967
ExamPrep_23,SA,Social,2964,444,2841,760,0.1497975709,0.2675114396,78.58196105
ExamPrep_23,SA,Display,2837,425,2146,388,0.1498061332,0.1808014911,20.69031303
ExamPrep_23,EG,YouTube,1246,186,1406,385,0.1492776886,0.273826458,83.43428318
ExamPrep_23,EG,Social,1128,169,2920,877,0.149822695,0.3003424658,100.4652671
ExamPrep_23,EG,Display,2485,372,1159,213,0.1496981891,0.1837791199,22.76642823
NewYear_24,UK,YouTube,1168,175,2025,494,0.1498287671,0.2439506173,62.81961199
NewYear_24,UK,Social,1609,241,2381,651,0.1497824736,0.2734145317,82.54107117
NewYear_24,UK,Display,2794,419,2206,350,0.149964209,0.1586582049,5.797380544
NewYear_24,DE,YouTube,2731,409,2449,674,0.1497619919,0.2752143732,83.76783698
NewYear_24,DE,Social,2683,402,1725,459,0.1498322773,0.2660869565,77.5898767
NewYear_24,DE,Display,1582,237,2608,413,0.1498103666,0.1583588957,5.706233336
NewYear_24,SA,YouTube,2734,410,2787,766,0.1499634236,0.2748475063,83.2763615
NewYear_24,SA,Social,2160,324,1767,535,0.15,0.3027730617,101.8487078
NewYear_24,SA,Display,1185,177,2637,483,0.1493670886,0.1831626849,22.62586529
NewYear_24,EG,YouTube,1970,295,2804,713,0.1497461929,0.2542796006,69.8070553
NewYear_24,EG,Social,1884,282,2226,678,0.1496815287,0.3045822102,103.4868383
NewYear_24,EG,Display,2113,316,1930,354,0.1495504023,0.1834196891,22.64740605
BackToSchool_24,UK,YouTube,2275,341,1104,307,0.1498901099,0.2780797101,85.52238727
BackToSchool_24,UK,Social,2571,385,2228,612,0.1497471801,0.2746858169,83.4330481
BackToSchool_24,UK,Display,1111,166,2403,382,0.1494149415,0.1589679567,6.393614408
BackToSchool_24,DE,YouTube,1046,156,2635,742,0.1491395793,0.2815939279,88.81233883
BackToSchool_24,DE,Social,1746,261,2788,774,0.1494845361,0.2776183644,85.71711275
BackToSchool_24,DE,Display,1892,283,2848,458,0.149577167,0.1608146067,7.512804224
BackToSchool_24,SA,YouTube,2206,330,2547,777,0.1495920218,0.3050647821,103.9311846
BackToSchool_24,SA,Social,2104,315,1712,437,0.1497148289,0.2552570093,70.49547545
BackToSchool_24,SA,Display,1968,295,1136,202,0.149898374,0.1778169014,18.62497016
BackToSchool_24,EG,YouTube,1137,170,1213,315,0.1495162709,0.2596867271,73.68459338
BackToSchool_24,EG,Social,1970,295,2405,622,0.1497461929,0.2586278586,72.71080729
BackToSchool_24,EG,Display,2247,337,1321,236,0.1499777481,0.178652536,19.11936151
