Report_Date,Creative_Name,Market,Channel,Age_Group,Point_Est_Awareness,Point_Est_Consideration,Point_Est_Purchase_Intent
2026-01-15,Study With Me,UK,YouTube,18-24,6.07,4,1.62
2026-01-15,Study With Me,UK,YouTube,25-34,6.2,4.07,1.41
2026-01-15,Study With Me,UK,YouTube,35-49,5.8,3.53,1.39
2026-01-15,Study With Me,UK,Social,18-24,4.8,3.52,1.55
2026-01-15,Study With Me,UK,Social,25-34,5.21,3.61,1.61
2026-01-15,Study With Me,UK,Social,35-49,4.93,3.63,1.43
2026-01-15,Study With Me,UK,Display,18-24,8.07,0.97,1.48
2026-01-15,Study With Me,UK,Display,25-34,8.51,1.09,1.48
2026-01-15,Study With Me,UK,Display,35-49,8.1,0.91,1.38
2026-01-15,Study With Me,UK,Search,18-24,1,0.49,9.77
2026-01-15,Study With Me,UK,Search,25-34,1.1,0.5,9.75
2026-01-15,Study With Me,UK,Search,35-49,0.92,0.45,8.37
2026-01-15,Study With Me,DE,YouTube,18-24,6.04,3.58,1.38
2026-01-15,Study With Me,DE,YouTube,25-34,5.67,3.87,1.36
2026-01-15,Study With Me,DE,YouTube,35-49,6.05,3.46,1.43
2026-01-15,Study With Me,DE,Social,18-24,5.42,3.83,1.43
2026-01-15,Study With Me,DE,Social,25-34,5.33,3.58,1.49
2026-01-15,Study With Me,DE,Social,35-49,5.03,3.66,1.58
2026-01-15,Study With Me,DE,Display,18-24,7.97,0.97,1.57
2026-01-15,Study With Me,DE,Display,25-34,8.58,1.04,1.5
2026-01-15,Study With Me,DE,Display,35-49,9.1,0.91,1.4
2026-01-15,Study With Me,DE,Search,18-24,1.09,0.54,9.14
2026-01-15,Study With Me,DE,Search,25-34,1.06,0.54,9.84
2026-01-15,Study With Me,DE,Search,35-49,0.95,0.54,9.57
2026-01-15,Study With Me,SA,YouTube,18-24,6.1,3.88,1.36
2026-01-15,Study With Me,SA,YouTube,25-34,6.04,3.59,1.56
2026-01-15,Study With Me,SA,YouTube,35-49,5.58,3.95,1.41
2026-01-15,Study With Me,SA,Social,18-24,4.96,4,1.47
2026-01-15,Study With Me,SA,Social,25-34,5.1,3.93,1.53
2026-01-15,Study With Me,SA,Social,35-49,5.24,3.46,1.61
2026-01-15,Study With Me,SA,Display,18-24,9.3,1.04,1.39
2026-01-15,Study With Me,SA,Display,25-34,8.67,1.02,1.44
2026-01-15,Study With Me,SA,Display,35-49,8.17,0.91,1.37
2026-01-15,Study With Me,SA,Search,18-24,1.05,0.55,9.78
2026-01-15,Study With Me,SA,Search,25-34,1.01,0.55,8.89
2026-01-15,Study With Me,SA,Search,35-49,1.09,0.55,9.58
2026-01-15,Study With Me,EG,YouTube,18-24,5.72,3.9,1.4
2026-01-15,Study With Me,EG,YouTube,25-34,6.05,4.09,1.59
2026-01-15,Study With Me,EG,YouTube,35-49,5.76,3.98,1.53
2026-01-15,Study With Me,EG,Social,18-24,4.91,3.61,1.5
2026-01-15,Study With Me,EG,Social,25-34,5.37,3.91,1.43
2026-01-15,Study With Me,EG,Social,35-49,4.92,3.83,1.6
2026-01-15,Study With Me,EG,Display,18-24,7.68,1.01,1.53
2026-01-15,Study With Me,EG,Display,25-34,8.63,0.98,1.58
2026-01-15,Study With Me,EG,Display,35-49,7.86,1.09,1.37
2026-01-15,Study With Me,EG,Search,18-24,0.98,0.46,9.23
2026-01-15,Study With Me,EG,Search,25-34,1.04,0.48,9.41
2026-01-15,Study With Me,EG,Search,35-49,1.05,0.51,8.56
2026-01-15,Grade Booster,UK,YouTube,18-24,6.56,2.63,1.53
2026-01-15,Grade Booster,UK,YouTube,25-34,5.78,2.8,1.44
2026-01-15,Grade Booster,UK,YouTube,35-49,6.17,2.83,1.64
2026-01-15,Grade Booster,UK,Social,18-24,4.9,2.52,1.47
2026-01-15,Grade Booster,UK,Social,25-34,5.28,2.75,1.36
2026-01-15,Grade Booster,UK,Social,35-49,5.23,2.81,1.5
2026-01-15,Grade Booster,UK,Display,18-24,8.52,0.73,1.51
2026-01-15,Grade Booster,UK,Display,25-34,8.69,0.76,1.46
2026-01-15,Grade Booster,UK,Display,35-49,8.62,0.75,1.4
2026-01-15,Grade Booster,UK,Search,18-24,1.01,0.33,9.69
2026-01-15,Grade Booster,UK,Search,25-34,1.02,0.35,9.21
2026-01-15,Grade Booster,UK,Search,35-49,0.99,0.39,8.8
2026-01-15,Grade Booster,DE,YouTube,18-24,6.57,2.64,1.64
