Market,Creative_Name,Point_Est_Consideration
DE,Coding Help,2.7225
DE,Free Trial,1.0783333333333334
DE,Grade Booster,1.6600000000000001
DE,Life Hack,6.313333333333333
DE,Study With Me,2.21
EG,Coding Help,3.5124999999999997
EG,Free Trial,1.0725
EG,Grade Booster,1.5833333333333333
EG,Life Hack,4.724166666666666
EG,Study With Me,2.3208333333333333
SA,Coding Help,3.3699999999999997
SA,Free Trial,1.0583333333333333
SA,Grade Booster,1.6241666666666668
SA,Life Hack,4.895833333333333
SA,Study With Me,2.285833333333333
UK,Coding Help,2.7133333333333334
UK,Free Trial,1.0508333333333335
UK,Grade Booster,1.6375
UK,Life Hack,6.118333333333333
UK,Study With Me,2.2308333333333334
