Market,Channel,Spend,Reach,Lifted_Users,CPLU,CPR,Relative_Cost_Index,Quadrant
SA,YouTube,586347,16322642,1298374.9973901552,0.4516006555722404,0.03592230963590331,78.26993327259959,"Scale / High Impact (High Spend, High Lift)"
EG,Social,599752,16740556,1182176.269573522,0.507328742283386,0.03582628916267775,78.06071743686012,"Scale / High Impact (High Spend, High Lift)"
EG,YouTube,579792,16700537,1136868.7214119222,0.5099902821496692,0.03471696748433898,75.64365309379674,"High Efficiency (Low Spend, High Lift)"
DE,YouTube,885143,25347834,1664342.9878765752,0.5318272774587738,0.034919867314895624,76.08574482897899,"Scale / High Impact (High Spend, High Lift)"
SA,Social,577913,16033091,1054469.8802506574,0.5480602251651082,0.03604501465126095,78.5372911752957,"High Efficiency (Low Spend, High Lift)"
DE,Social,853339,23613823,1458862.039895291,0.5849346796776259,0.036137265871773495,78.7382943108685,"Scale / High Impact (High Spend, High Lift)"
UK,Social,892537,25319707,1512775.6152624898,0.5899995947813657,0.03525068437798273,76.80655119459713,"Scale / High Impact (High Spend, High Lift)"
UK,YouTube,911210,25307489,1499302.4794847462,0.6077559481614068,0.03600554760687637,78.45129773662883,"Scale / High Impact (High Spend, High Lift)"
EG,Display,390429,19749835,364486.541362292,1.0711753540768512,0.019768722118437953,43.0734152892058,"Niche / Low Priority (Low Spend, Low Lift)"
SA,Display,335932,17197782,283469.6303708257,1.1850722758573635,0.01953344913896455,42.56078676974601,"Niche / Low Priority (Low Spend, Low Lift)"
UK,Display,548186,27797731,152050.51206169726,3.60528874626587,0.019720530427465466,42.96841200642856,"Niche / Low Priority (Low Spend, Low Lift)"
DE,Display,546337,27688783,151145.83394859443,3.6146348577878262,0.01973134752798633,42.991981029260124,"Niche / Low Priority (Low Spend, Low Lift)"
DE,Search,903083,9779265,0.0,,0.09234671521837275,201.21120583131002,"Underperforming (High Spend, Low Lift)"
EG,Search,581230,6288476,0.0,,0.09242779967674203,201.38787807789816,"Niche / Low Priority (Low Spend, Low Lift)"
SA,Search,583448,6294576,0.0,,0.09269059583997397,201.96047595283827,"Niche / Low Priority (Low Spend, Low Lift)"
UK,Search,842667,9033397,0.0,,0.0932835122822566,203.25236199368754,"Underperforming (High Spend, Low Lift)"
