Week_Start,Week_Date,Campaign_Name,Market,Channel,Spend_USD,Impressions,Reach,Conversions,Exposed_Rate,Control_Rate,pval,is_significant,Relative_Lift,abs_lift_pct,lifted_users,cost_per_lifted_user
2023-01-02,2023-01-02,Always_On,UK,YouTube,6212,331780,111134,214,,,,,,,,
2023-01-02,2023-01-02,Always_On,UK,Social,4262,318639,154596,137,,,,,,,,
2023-01-02,2023-01-02,Always_On,UK,Display,2009,515503,101883,18,,,,,,,,
2023-01-02,2023-01-02,Always_On,UK,Search,5513,67707,61330,466,,,,,,,,
2023-01-02,2023-01-02,Always_On,DE,YouTube,5664,426034,190810,173,,,,,,,,
2023-01-02,2023-01-02,Always_On,DE,Social,7944,480628,224773,282,,,,,,,,
2023-01-02,2023-01-02,Always_On,DE,Display,2804,818015,203508,25,,,,,,,,
2023-01-02,2023-01-02,Always_On,DE,Search,3345,48268,40600,305,,,,,,,,
2023-01-02,2023-01-02,Always_On,SA,YouTube,4915,313629,105299,650,,,,,,,,
2023-01-02,2023-01-02,Always_On,SA,Social,3534,253551,114033,448,,,,,,,,
2023-01-02,2023-01-02,Always_On,SA,Display,2218,521679,88150,66,,,,,,,,
2023-01-02,2023-01-02,Always_On,SA,Search,3032,42152,36408,1015,,,,,,,,
2023-01-02,2023-01-02,Always_On,EG,YouTube,3238,265504,114933,442,,,,,,,,
2023-01-02,2023-01-02,Always_On,EG,Social,4428,311128,139029,605,,,,,,,,
2023-01-02,2023-01-02,Always_On,EG,Display,2484,628939,108959,84,,,,,,,,
2023-01-02,2023-01-02,Always_On,EG,Search,5121,70700,61698,1587,,,,,,,,
2023-01-09,2023-01-09,Always_On,UK,YouTube,5838,423106,197773,211,,,,,,,,
2023-01-09,2023-01-09,Always_On,UK,Social,6552,582303,260056,215,,,,,,,,
2023-01-09,2023-01-09,Always_On,UK,Display,3712,967760,191387,29,,,,,,,,
2023-01-09,2023-01-09,Always_On,UK,Search,2929,32301,27661,222,,,,,,,,
2023-01-09,2023-01-09,Always_On,DE,YouTube,3838,344958,130512,129,,,,,,,,
2023-01-09,2023-01-09,Always_On,DE,Social,3632,303911,102355,134,,,,,,,,
2023-01-09,2023-01-09,Always_On,DE,Display,2099,483214,81189,17,,,,,,,,
2023-01-09,2023-01-09,Always_On,DE,Search,3050,37524,32551,251,,,,,,,,
2023-01-09,2023-01-09,Always_On,SA,YouTube,4228,310607,125523,579,,,,,,,,
2023-01-09,2023-01-09,Always_On,SA,Social,4367,229304,106621,590,,,,,,,,
2023-01-09,2023-01-09,Always_On,SA,Display,2431,516575,120529,76,,,,,,,,
2023-01-09,2023-01-09,Always_On,SA,Search,3482,37848,31991,990,,,,,,,,
2023-01-09,2023-01-09,Always_On,EG,YouTube,4832,248688,89724,657,,,,,,,,
2023-01-09,2023-01-09,Always_On,EG,Social,4578,293123,121898,566,,,,,,,,
2023-01-09,2023-01-09,Always_On,EG,Display,1807,479030,89580,61,,,,,,,,
2023-01-09,2023-01-09,Always_On,EG,Search,5192,76080,66261,1675,,,,,,,,
2023-01-16,2023-01-16,Always_On,UK,YouTube,3670,238624,83411,134,,,,,,,,
2023-01-16,2023-01-16,Always_On,UK,Social,6029,463694,227409,204,,,,,,,,
2023-01-16,2023-01-16,Always_On,UK,Display,2641,687408,169469,20,,,,,,,,
2023-01-16,2023-01-16,Always_On,UK,Search,7326,80293,71106,565,,,,,,,,
